,types,dates
0,b,2017-07-24
1,a,2016-06-15
2,a,2016-12-12
3,a,2016-10-12
4,b,2016-07-13
5,a,2016-03-15
6,a,2017-09-06
7,a,2016-03-21
8,b,2017-12-18
9,a,2016-05-03
10,b,2017-08-30
11,a,2017-09-18
13,a,2016-10-17
14,b,2016-03-22
15,a,2017-05-24
16,a,2017-02-09
17,a,2017-10-18
18,a,2016-06-30
19,a,2017-01-20
20,a,2016-09-16
21,a,2017-03-10
22,a,2017-08-28
23,a,2017-07-12
24,a,2017-12-13
25,a,2017-04-19
26,a,2016-02-11
27,a,2017-05-05
28,a,2016-11-03
29,b,2016-02-17
30,a,2016-01-28
31,a,2017-06-14
32,a,2016-11-22
33,a,2017-08-22
34,a,2017-01-06
36,a,2016-10-05
37,a,2016-09-06
38,a,2016-07-12
39,a,2017-11-09
40,a,2016-10-12
41,a,2016-05-17
42,a,2016-05-31
43,a,2017-03-17
44,a,2016-03-24
45,a,2016-11-29
46,b,2016-05-10
47,b,2016-01-21
48,a,2017-11-14
49,a,2016-10-19
50,a,2017-10-04
51,a,2017-12-26
52,a,2017-12-18
53,a,2017-07-17
54,a,2017-11-22
55,a,2016-07-29
56,a,2016-07-14
57,a,2017-03-21
58,a,2017-03-23
59,a,2017-01-19
60,b,2016-12-14
61,a,2017-11-14
62,a,2017-03-21
63,a,2017-09-13
64,b,2017-10-13
65,a,2017-03-16
66,b,2016-06-23
67,a,2016-04-14
68,a,2016-06-27
69,a,2017-06-26
70,b,2016-04-20
71,a,2017-12-15
72,b,2017-04-14
73,a,2017-09-20
74,a,2017-11-02
75,a,2016-06-03
76,a,2017-02-14
77,a,2017-12-26
78,b,2016-02-26
79,a,2016-04-07
80,b,2017-08-14
81,a,2017-11-02
82,a,2017-10-02
83,b,2016-07-11
84,a,2016-09-29
85,a,2016-12-23
86,b,2017-08-29
87,a,2017-10-10
88,a,2017-10-31
89,a,2016-01-13
90,a,2016-05-17
91,a,2017-02-10
92,a,2017-06-22
93,a,2017-01-19
94,b,2016-11-23
95,a,2017-07-20
96,a,2017-01-12
97,a,2016-12-14
98,b,2016-10-13
99,a,2017-06-08
100,b,2016-12-16
101,a,2016-06-23
102,b,2016-07-15
103,a,2017-10-23
104,a,2016-02-01
105,b,2017-01-11
106,a,2016-10-05
107,b,2016-08-31
108,b,2016-03-03
109,a,2017-08-04
110,a,2017-01-27
111,a,2017-01-26
112,a,2016-09-20
113,b,2016-02-08
114,a,2016-12-21
115,a,2017-05-02
116,a,2016-11-18
117,a,2017-12-21
119,a,2017-02-27
120,a,2017-07-03
121,a,2017-05-24
122,a,2017-06-30
123,a,2016-06-01
124,a,2016-11-30
125,b,2017-08-18
126,a,2016-10-26
127,a,2017-02-10
128,a,2016-12-07
129,a,2016-11-17
130,a,2017-06-19
131,a,2016-03-23
132,a,2016-09-28
133,a,2016-06-06
134,b,2017-03-13
135,a,2016-02-03
136,a,2016-10-18
137,a,2016-08-03
138,a,2016-05-19
139,a,2017-10-31
140,b,2016-05-10
141,a,2017-01-04
142,a,2017-07-24
143,a,2016-07-28
144,a,2017-06-22
145,a,2017-11-09
146,a,2017-08-02
147,a,2016-04-25
148,a,2016-07-21
149,a,2016-09-12
150,a,2017-04-26
151,a,2016-06-24
152,b,2016-08-05
153,a,2017-06-02
154,a,2016-03-22
155,a,2017-09-20
156,b,2016-11-30
157,a,2016-09-27
158,a,2016-01-26
159,a,2017-11-16
160,a,2016-10-20
161,a,2017-07-19
162,a,2016-03-11
163,a,2017-04-17
164,a,2017-02-21
165,a,2017-01-27
166,a,2016-08-22
167,a,2016-04-14
168,b,2017-12-22
169,b,2017-04-12
170,a,2016-06-06
171,a,2016-01-06
172,a,2016-10-14
173,a,2016-06-30
174,a,2017-01-06
175,a,2016-01-25
176,a,2017-06-02
177,a,2017-04-13
178,a,2017-09-13
179,b,2016-03-28
180,a,2017-06-29
181,a,2017-01-10
182,b,2016-12-08
183,b,2016-12-13
184,a,2016-04-21
185,a,2016-11-21
186,a,2017-10-11
187,b,2017-08-23
188,a,2016-04-20
189,b,2016-11-10
190,b,2017-12-22
191,a,2017-10-11
192,a,2016-02-23
193,a,2017-11-28
194,a,2016-11-21
195,a,2017-11-27
196,a,2017-12-01
197,a,2017-01-03
198,a,2016-12-15
199,a,2017-09-20
